Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	P2	P1	Time	SD_P1_Michelina	SD_P2_Michelina	SD_Notes_Michelina
03:29.5	03:31.6	it sounds just like that					
03:31.7	03:32.5	it's really funny					
03:33.4	03:36.8	and then all my English teachers have the weird names					
03:36.8	03:39.8	like my English teacher before that her name was Ms. Azola				SD	
03:39.8	03:44.1	and she was like oh what if I meet a soda company					
03:44.1	03:46.0	and I get called Asolo Soda (laughter)					
03:46.1	03:51.0	it was like oh all the English teachers with the weird names					
03:51.3	03:54.4		mm-hmm I have Ms. Cunningham		SD		
03:54.6	03:59.9	oh it's like I've ever had a Ms. Cunningham but yeah				SD	
03:59.9	04:05.2	but you could have had in the class the other like last or a year before that					
04:05.2	04:11.6	but you type your number every single person in your class					
04:11.6	04:11.7		yeah				
04:11.7	04:17.5	yeah it's true so they're the memorable ones					
04:17.8	04:22.7	how long does it take to get a pair of pen sticks apparently a while					
04:24.3	04:26.5		I don't know				
04:26.5	04:27.8	I bet it makes sense to them					
04:27.8	04:30.1	but I don't really understand why we're supposed to use Skype					
04:30.1	04:31.8	it's normal for me though					
04:31.8	04:32.8	because that's what I do					
04:32.8	04:34.9	it's like classes are like Skype so it's					
04:34.9	04:37.4		I've never used Skype ever (laughter)		SD		
04:37.7	04:38.6	really yeah					
04:38.6	04:41.3		all my friends have it				
04:41.4	04:42.8	I don't use it a whole lot			SD		
04:42.8	04:44.5	but I'm saying it's not like super different					
04:44.5	04:49.7	because virtual classes do resemble Skype like at least now that we have the board up					
04:49.9	04:56.6	because that's like the boarding class I think like the whiteboard or whatever whatever you call it					
04:56.8	04:59.9		I would just call it screen				
05:00.5	05:03.2	yeah the screen the screen you type all over					
05:03.2	05:05.7		the screen of destiny (laughter)				
05:06.3	05:10.0	the screen of learning what are you learning					
05:10.0	05:11.4	dreams are destroyed					
05:11.4	05:13.8	and you sit there and watch them from port on					
05:14.1	05:14.9		yup				
05:15.1	05:15.4	yup					
05:18.1	05:24.7	I think I've made a heart					
05:24.7	05:34.8	I think PA Cyber like you know the pads we draw on					
05:34.8	05:35.7		the Bamboo pad				
05:36.5	05:41.5	yeah these I think PA Cyber has ever has like something similar to it					
05:41.5	05:41.7		yeah				
05:42.1	05:43.3	yeah I think it					
05:43.3	05:45.0		I had one but it broke				
05:45.0	05:47.2	yeah I tried submitting up					
05:47.2	05:48.7	and it was too confusing					
05:48.7	05:51.2	and it didn't work after I was trying					
05:51.2	05:52.3	and so I gave up					
05:52.8	05:54.5		they might have given you the wrong pen				
05:54.5	05:56.9		because I know you need to use the pen for it to on				
05:56.9	06:00.1	yeah I mean I've heard (inaudible) mine was					
06:00.1	06:04.0	but it was definitely smaller than this					
06:04.1	06:06.3	and it didn't have all these buttons					
06:06.3	06:10.1		I think that mine was like half size of this maybe				
06:10.1	06:14.0	yeah it was like kind of this size and the part you actually write on					
06:14.0	06:17.2	but it didn't have like this plastic frame or whatever					
06:17.2	06:17.4		yeah				
06:17.4	06:19.5	I don't know if you have the same one as me				0	i'm 50/50 because i don't know if it seems personal/enduring enough
06:19.5	06:22.0	so I'm just hoping you understand what I'm talking about					
06:22.0	06:22.1		yeah				
06:24.2	06:29.3	I can't tell I'm pretty sure you're right there in that direction					
06:29.8	06:31.8		yeah I don't know (laughter)				
06:31.8	06:36.0	me neither I mean really like next to you because as I walked over					
06:36.7	06:37.2		I saw you yeah				
06:37.6	06:37.9	yeah					
06:37.9	06:40.2		because I was like that girls is familiar				
06:40.2	06:43.4	yeah could you see them list					
06:43.4	06:45.0	I don't know what they're doing					
06:45.4	06:46.4		I can't see from here so				
06:46.8	06:48.9	yeah well they're like in the other room					
06:48.9	06:50.0	but it's a clear wall					
06:50.0	06:51.6	so I don't know what they're clinging right now					
06:51.6	06:52.8	oh they're leaving again					
06:52.8	06:53.6	oh well we still wait more					
06:53.6	06:54.2	oh she's bringing a pen					
06:54.2	06:55.0	maybe they're fixed					
06:58.0	06:58.1	okay					
07:08.6	07:11.6	do I have to pause filler hold this down					
07:31.2	07:32.4	I can't hear that well					
07:32.4	07:34.6	I just don't hold this					
07:40.8	07:40.9	pause filler nope					
07:44.5	07:48.4		is it the questions in the future to do				
08:07.8	08:09.9		yeah I don't want to a little mess so (laughter)				
08:37.7	08:40.1		that's twenty problems				
08:46.2	08:48.5		nah okay what is oh I have this				
08:50.3	08:51.9		I think so				
08:54.6	08:55.8	that was me					
08:59.2	09:02.1		oh my god another ah what the				
09:08.0	09:10.1		here we go (laughter)				
09:13.5	28:09.7			T1 			
09:15.0	09:15.1		great				
09:15.1	09:19.0	okay teach me					
09:20.6	09:23.9		pause filler so do you see the x minus x equals thirteen				
09:24.4	09:26.4	yup I see it same place you are					
09:26.4	09:31.7		I'm guessing this is a question we're working on and I thought				
09:31.7	09:33.6	yup pause filler just don't push the button					
09:33.7	09:34.8	that's all I was told					
09:35.1	09:35.3		yeah (laughter)				
09:35.8	09:36.6	okay I'm ready					
09:37.3	09:38.2		don't press anything				
09:38.2	09:39.1		just solve the problem (laughter)				
09:39.3	09:44.0		so I have no idea how to explain this (laughter)				
09:44.7	09:45.3	it's okay					
09:45.3	09:47.6	I already kind of understand this					
09:47.6	09:48.7	so just do your best					
09:49.8	09:53.0		what I know and do for this is just do the opposite (laughter)				
09:54.3	09:57.6		so like if you do x minus six this is thirteen plus six				
09:57.6	09:58.1		that's the answer				
09:58.7	10:02.5	okay like the opposite operation all right should I do this					
10:02.7	10:04.1	or should you do this					
10:04.1	10:04.8		I think you (laughter)				
10:05.0	10:05.3	okay					
10:05.7	10:08.9		it's just a thirteen plus six I mean				
10:09.0	10:12.6	this is hard to draw plus six okay					
10:12.9	10:16.0		no that is okay				
10:17.1	10:24.1	plus six so that would mean x equal to					
10:24.1	10:27.8	that was a really bad equal to sign					
10:27.8	10:29.5	I don't know what that is					
10:30.1	10:36.3	I'm scared of it okay oh well nineteen					
10:36.8	10:43.0	that's not a nine one minute okay wait					
10:43.0	10:45.3	this is confusing					
10:45.9	10:49.4	okay I think I got it now nineteen					
10:49.4	10:51.2	there's my sloppy answer					
10:51.8	10:55.2		so then you can like double check it by nineteen minus six equals				
10:55.8	10:58.2	yeah that's a good trick okay					
10:58.4	11:00.2	so I guess we'll move onto the next page now					
11:00.2	11:01.3		I suppose				
11:01.3	11:03.8		so let's see if I can do that while messing out				
11:04.2	11:05.2	okay I'm on it					
11:05.2	11:05.8	do you see it					
11:05.8	11:07.4		yeah I'm trying to get down good				
11:07.5	11:08.9		I am not good at this				
11:09.2	11:12.1	okay just like okay do you see it					
11:12.1	11:21.5	fifteen equals negative eight plus p or a q whatever					
11:24.5	11:25.2		so (laughter)				
11:25.2	11:28.1	are you on the first page or the second page					
11:28.1	11:30.8		second I see fifteen equals minus eight equals p				
11:31.3	11:31.5	okay					
11:34.1	11:49.7		so I'm guessing I'll do achy nose achy nose ah (laughter) so just that like minus eight to each side I think				
11:49.7	11:49.8	oh yeah					
11:50.0	11:53.4		that's what I'm doing here				
11:53.4	11:57.0	well at least minus negative eight yeah					
11:57.2	12:00.5		yeah so add negative eight to both I suppose				
12:01.0	12:04.5	yeah which is just basically just adding the (inaudible) no right					
12:04.5	12:06.1		or no add eight to each				
12:06.3	12:09.2		because eight minus eight equals eight equals zero so				
12:09.7	12:14.6	so plus yeah because it should not be those like a positive					
12:14.6	12:15.3	I think					
12:15.8	12:16.6	I don't know					
12:16.6	12:19.7		over or just a regular number plus a negative				
12:20.1	12:29.4	yeah well if you're subtracting wait one second yeah because we're subtracting negative eight					
12:29.6	12:37.3	which would make it just adding eight pause filler plus eight plus eight					
12:37.3	12:39.5		what did you do to that				
12:40.4	12:45.2	so that would make this side just p					
12:46.4	12:50.5	and oh jeez this is confusing okay					
12:51.1	12:59.7	and that would make this side ninety-three right yeah					
13:01.0	13:04.7		yeah (laughter) the mental math there for a second				
13:04.7	13:07.2	I'm really about it for some reason					
13:07.3	13:08.7	I need to show me a flash cards					
13:09.0	13:10.7	okay I'm on page three now					
13:11.0	13:14.1	I'll wait for you actually okay					
13:16.9	13:19.5		so seventeen I think				
13:20.4	13:21.7		because you're trying to find the k				
13:21.9	13:25.0		like what plus eleven would equal seventeen				
13:25.5	13:25.9	yeah					
13:26.4	13:28.1		so seventeen minus eleven				
13:29.1	13:29.5	okay					
13:29.5	13:31.0		then eleven minus eleven				
13:32.0	13:34.2	yeah I would just do					
13:34.2	13:45.9	you do one side to do on another side minus eleven to the side equals k					
13:45.9	13:49.5	that looks like an r oops okay					
13:50.3	13:57.4		well it doesn't have to be perfect just				
13:57.4	13:58.6		it has to have the answer				
13:58.8	14:01.3	yeah okay pause filler I'm sorry					
14:01.4	14:03.1	I'm a perfectionist I (inaudible)					
14:03.3	14:03.9		me too (inaudible)				
14:06.0	14:08.0	okay six right okay					
14:08.0	14:10.9		yup that's six equals				
14:11.4	14:13.8	oops I skipped too many pages					
14:13.8	14:15.8	all right I'm on page four					
14:16.5	14:17.1		I got it too				
14:17.8	14:19.2	is this like forty-four yeah					
14:19.4	14:20.8	and this looks to be an x					
14:21.2	14:25.0		forty-four x or forty-times one equals				
14:25.8	14:26.1	yeah					
14:26.5	14:28.2		wait x stands as a multiplication sign				
14:28.2	14:30.2		and that the same thing is				
14:30.2	14:36.5	yeah but I'm thinking if in algebra they would use this sign that circle					
14:36.5	14:37.5		they don't use a sign				
14:37.9	14:39.2		they just make you pretty much				
14:39.2	14:40.6		they put the letters together				
14:40.6	14:45.3		so that's forty-four x equals forty-time whatever				
14:45.3	14:50.0		it equal so two hundred and twenty divided by forty-four pretty much				
14:50.0	14:52.3	this is what you want to do okay					
14:52.8	14:53.4		I think				
14:53.4	14:56.3	usually (inaudible) like you're teaching me so I'm going to try this I think					
14:56.3	14:57.3		I just used the opposite				
14:57.3	15:00.2		because the opposite of multiplication is division I mean				
15:00.2	15:03.5	yeah but then you have to make sure you're doing it to both sides					
15:03.5	15:06.7	because the goal is to cancel the variable out					
15:08.4	15:10.9	so I don't think					
15:10.9	15:13.3	I know this is depressing					
15:13.3	15:18.4	and I'm going to have to write this out					
15:18.4	15:21.4		I can't help you if you want I mean				
15:21.4	15:23.6	okay you want to do the whole division					
15:23.6	15:27.5	that's my weakness for all things					
15:27.5	15:29.1	like I'm good with concepts					
15:29.1	15:32.0	but like computation I'm slow at it					
15:32.0	15:34.9		oh my gosh I suck at writing this thing				
15:35.4	15:51.0	yeah it's kind of hard					
15:51.0	15:55.0		(sfx) (laughter) oh so pretty much forty-four will go and not going to do				
15:55.2	15:57.4		forty-four wouldn't go into twenty-two so				
15:57.8	15:59.4	yeah you got to do it					
15:59.4	16:00.2		zero equals				
16:00.2	16:01.4	two twenty					
16:01.4	16:05.8		zero where is the calculator (laughter)				
16:05.8	16:07.1	I don't know					
16:07.1	16:09.8	wait there's a bunch of other tools					
16:09.8	16:11.8	but we weren't told what those are					
16:11.8	16:14.8	so I'm guessing we're not supposed to use this					
16:14.9	16:20.4		I wonder if I'm allowed to use this scratch paper				
16:20.4	16:20.9	pause filler I don't know					
16:20.9	16:24.2	(inaudible) I'm pretty sure they want us to do it on the screen					
16:24.2	16:24.5	I don't know					
16:24.5	16:25.8		I know this is hard				
16:26.3	16:30.5	to stay for later					
16:30.6	16:32.5		so they're coming				
16:32.5	16:40.6	here I think I'm at two					
16:40.6	16:44.0		(laughter) eighty-eight				
16:43.0	16:44.0	(inaudible)					
16:44.7	16:46.3	hey that's forty-four					
16:46.3	16:49.9	yeah use your pause filler actual pen like you can					
16:49.9	17:26.0		yeah one twenty-two nope that's twenty-five I think				
17:26.0	17:26.2	okay					
17:26.2	17:33.5		I'm looking for an assembly in this thing				
17:34.0	17:34.1	okay					
17:34.1	17:37.9		okay yeah currently we're doing it right pause filler (laughter)				
17:38.0	17:39.9	okay pause filler I can't tell if I'm in the frame					
17:39.9	17:44.0	because there's a warning sign like covering me up					
17:44.0	17:45.9	so sorry if you can't see me					
17:45.9	17:46.8		yeah you're right in the middle				
17:46.8	17:47.6		so am I				
17:47.6	17:49.4	okay good yeah you're good					
17:49.4	17:52.0		cool I might need over here a little bit				
17:52.0	17:55.1		but that's just because I'm looking at those				
17:55.1	17:55.2	okay					
17:55.2	18:02.6		so yeah like do you think what I have is like twelve equals twenty-four so				
18:02.6	18:04.9		and I'm just going twelve over twelve				
18:04.9	18:07.4	yeah that's like basically what ours is					
18:09.1	18:12.2	so do we do it right so far at least the dividing by forty-four					
18:12.6	18:12.8		yeah				
18:12.9	18:13.0	okay					
18:13.0	18:17.2		that's just pretty much how many time forty-four				
18:17.2	18:18.0		I can go with that				
18:18.6	18:26.1	okay okay so forty-four plus forty-four it's eighty-eight and then eighty-eight					
18:26.5	18:28.0	that's forty-four					
18:28.6	18:30.4	is there a faster way to do this					
18:30.7	18:33.9		I wish calculator up (laughter)				
18:33.9	18:34.4	yeah					
18:34.4	18:44.0		one seventy-six equals forty-four				
18:45.4	18:46.9	here okay					
18:48.1	18:50.5		another four so far so				
18:51.5	18:54.0	okay yeah you're closer than I am					
18:54.0	18:55.7	so I guess I'll wait					
19:06.4	19:07.9		I got it				
19:08.1	19:09.2	yeah okay how much is it					
19:09.6	19:12.4		so for me I just want the (inaudible) though (laughter)				
19:12.4	19:13.2	okay what do you					
19:13.2	19:30.6		so I think it's either five or six I'm fine with				
19:30.6	19:37.0	why would it seems more reasonable					
19:40.1	19:40.6		five				
19:41.0	19:44.8	okay so five go right here					
19:44.8	19:48.5	and how many five times was it exactly					
19:49.6	19:52.7	do you remember what five times forty-four was					
19:53.6	19:54.5		I'm double-checking that now				
19:54.5	19:54.6	okay					
19:54.6	20:09.1		four five let me see (laughter) sounds like make				
20:09.1	20:20.8		and now it will work pause filler (laughter)				
20:20.8	20:25.2	you do write it down as we're doing the problem is what I'm asking					
20:25.2	20:27.9	and did it fit into it exactly					
20:27.9	20:30.9	because if it did then it's two hundred and twenty					
20:31.2	20:33.7		because I just went like forty-four (inaudible) pause filler				
20:38.6	20:41.0		yeah I need to talk				
20:41.4	20:45.1		oh add twenty-five great job				
20:45.8	20:47.2	there we go it's back					
20:47.6	20:50.7		so I just went like forty-four plus forty-four equals eighty-eight				
20:50.8	20:53.1		so I want eighty-eight plus eighty-eight which would be four				
20:53.1	20:54.7		then I added another forty-four so				
20:54.7	21:03.5	so the fifth one the fifth forty-four that you added what you end up with was that exactly two hundred and twenty					
21:04.3	21:05.7		yeah I'm still checking it now one sec				
21:05.7	21:11.2	okay because if it was then we can just write two hundred twenty					
21:11.2	21:13.0	and then you're left with no remainder					
21:13.0	21:16.3	and so your answer is that's					
21:16.7	21:20.3	I don't know what I did					
21:21.1	21:26.9	so then the answer would be five if it fits exactly is what I'm saying					
21:26.9	21:28.4		I think it's five so				
21:28.4	21:31.2	yeah because you'd subtract this					
21:31.3	21:32.4	I don't know what I'm doing					
21:32.4	21:35.1		I keep messing up on pens my pen				
21:36.0	21:41.0	okay so that one would be five right yeah					
21:41.0	21:45.6		x equals five maybe (laughter) we hope				
21:45.6	21:48.5	we think let's just move on					
21:49.0	21:53.0	(inaudible) (laughter)					
21:53.1	22:01.3	okay I think I get how to do this					
22:01.3	22:04.2	just tell me like what comes to nine					
22:04.2	22:09.8	or how you would explain how to do it					
22:10.4	22:17.4		I'm trying to find the specific thing over here (inaudible) (laughter)				
22:17.4	22:18.9	oh my gosh					
22:19.3	22:32.0		oh my god (laughter) okay so (inaudible) so we can start this problem				
22:32.1	22:35.1		but pause filler (laughter) I have no clue what I'm doing				
22:35.5	22:39.6	I don't know if I'm supposed to help you					
22:39.6	22:40.6	or like if I know it					
22:40.7	22:42.5	I don't know if I'm supposed to help you					
22:42.5	22:45.4	or wait until I'm tutoring you					
22:45.4	22:46.5	I'm not sure					
22:46.5	22:47.7		right now I'm tutoring you				
22:47.7	22:49.4		so I guess I know what I'm doing				
22:49.5	22:53.9	yeah so I guess I'll just listen hands off					
22:55.5	22:58.8		I'm trying to solve it my mind first to see if I get it that's all				
22:59.0	23:02.4	yeah well you can write it down as you go if you want					
23:02.4	23:05.0		like I don't think there's anything wrong with that				
23:05.0	23:15.3		I have memorial hands on stuck on my hand				
23:15.3	23:16.6	I know I feel like coming					
23:16.6	23:20.2	and I'm like wait everyone there's a mic on me					
23:20.5	23:21.5	I probably shouldn't					
23:27.5	23:32.4		(laughter) (inaudible) so I guess you'd have to cross cancel the negative number				
23:32.5	23:32.9	yeah					
23:33.8	23:42.0		so like minus nine plus nine and then forty-one plus nine				
23:42.9	23:43.6	okay					
23:43.6	23:43.9		maybe (laughter)				
23:43.9	23:44.9	so you want to write that					
23:44.9	23:47.2	or do you want me to					
23:47.2	23:48.5		pause filler you because you're a lot better at this (laughter)				
23:48.6	23:50.0		you're a lot better at writing				
23:50.0	23:53.3	okay so you say what do you want me to write again					
23:53.3	23:56.2		it's like cross cancel this one				
23:56.3	23:58.7	so cancel out the negative nine is what you're saying					
23:58.7	23:59.7		yeah pretty much				
23:59.7	24:05.7	okay so you would do add negative nine					
24:05.7	24:12.3	and you have to do that to each side right					
24:12.3	24:13.5		I think				
24:14.9	24:17.3	I'm sorry I don't want to like					
24:17.4	24:22.9		I'm looking at them				
24:22.9	24:24.5	okay now what does it say to do					
24:24.5	24:27.9	or what do you want me to do					
24:27.9	24:32.0		I guess when you kind of divide				
24:32.0	24:36.2		because you're doing thirteen p which is thirteen times p				
24:36.3	24:38.0	yeah so					
24:38.1	24:42.5		it's like divided by five				
24:42.5	24:46.7		or for us it would be thirteen so forty-one divided by thirteen and thirteen divided thirteen				
24:46.7	24:48.3	I'm trying to write on this					
24:50.7	24:53.4	so that's yeah okay					
24:54.6	24:56.7	so we should probably do this					
24:57.1	24:59.2	because I wrote it down					
24:59.2	25:00.2	but we didn't actually do it					
25:00.8	25:06.0	so we're left with thirteen oh my gosh					
25:06.0	25:14.5	so after we do the first step you told me to do					
25:14.7	25:24.1	I get thirteen p equals forty-one					
25:24.1	25:26.3	after that we were					
25:26.8	25:29.3		well you have to add nine to forty-one				
25:29.5	25:32.1		so that would technically be fifty now				
25:32.1	25:32.9	oh right you're right					
25:32.9	25:36.7	I forgot to do that					
25:39.6	25:41.3	see this is what tutors are for					
25:41.3	25:44.0	it remind you skip something yeah					
25:44.0	25:50.8	so I'm adding negative nine which is basically just subtracting nine right					
25:51.8	25:53.6		well you're adding nine				
25:53.6	25:56.9		because minus nine wouldn't if you subtracted it it would be				
25:58.4	25:59.5	so you want me to add nine					
25:59.6	26:03.2		minus fifteen so minus nine plus nine and then forty-one plus nine				
26:03.7	26:04.3	so fifty					
26:05.0	26:05.3		yeah				
26:05.4	26:07.0	is that what you're saying okay so					
26:07.0	26:08.7		the hand minus				
26:08.7	26:11.0	okay (inaudible) that to make it fifty					
26:12.6	26:16.7	pause filler that's a really bad fifty but what we're doing and then					
26:16.8	26:21.4		so then thirteen p you have to divide thirteen by forty-one				
26:21.9	26:23.5	yeah this is getting really crooked					
26:23.6	26:26.4	you have to tilt your head to see it					
26:26.4	26:27.0	but that's okay					
26:27.0	26:28.0	(inaudible)					
26:32.2	26:38.3	yeah so then that gives us p equals					
26:38.5	26:54.7	how many time does thirteen go into fifty and fifteen twenty-six right fifteen twenty-six thirty-nine twenty-two forty-five					
26:54.7	26:56.2		you can go to forty-two				
26:57.2	27:02.0		but then if you add forty-two plus thirteen it will be forty-five so				
27:02.4	27:04.7	yeah so that's four right					
27:04.7	27:04.7		yeah				
27:04.9	27:06.0	okay so					
27:07.1	27:08.1		so you have a remainder				
27:09.5	27:11.3	yeah but I'm pretty sure					
27:11.3	27:14.0	like with the problems that I did on the paper it is simplified					
27:15.2	27:18.4	so I don't know what they want me to do					
27:18.4	27:21.4	oh I can see myself now					
27:21.4	27:22.9	okay now I can't					
27:23.0	27:24.2	it went back					
27:24.2	27:25.8	now I can see the tip of my head					
27:25.8	27:26.4	so I could not (inaudible)					
27:26.4	27:29.8	I think we just leave it at that right					
27:30.8	27:34.9	or should we add the remainder or write down the remainder					
27:36.9	27:40.7		well the remainder would be pause filler eight so				
27:41.4	27:43.4	can I just like write r					
27:44.3	27:45.1	this is what I					
27:45.1	27:46.6		yeah that's before eight				
27:46.9	27:49.0	this is what I was taught to do					
27:49.0	27:51.7	I don't know if (inaudible) this right page six					
27:52.8	27:53.7	this is similar					
27:53.7	27:55.6		an easy one				
27:55.7	27:55.8	yeah					
27:56.1	28:06.3		so got to start making this got to start making (laughter) pause filler (inaudible)				
28:10.7	28:10.8	hello					
28:17.6	28:23.8	do you want me to					
28:24.9	28:25.1	okay					
28:28.8	28:29.4	okay					
28:37.0	28:37.5	okay					
28:51.2	28:51.6	okay					
29:02.0	29:02.1		yay				
29:12.1	29:12.5		kind of				
29:15.6	29:16.7		I'm not sure				
29:17.1	29:18.5		I'm might have to ask mom				
29:19.4	29:20.7		because I know like it stuck majorly				
29:20.8	29:22.7		but I'm not sure how it will come out				
29:28.3	29:29.7		well I have springs though fun				
29:33.1	29:33.4		yeah (laughter)				
29:44.0	29:44.3		I'm good				
29:46.7	29:49.3	I don't want to eat mine in front of you then					
29:49.5	29:51.2		I'm good you go ahead				
29:51.2	29:55.4	okay I don't want to be					
29:53.2	34:29.1			S2 			
29:55.6	29:56.4	so now we've made again					
29:56.4	29:58.5	that was it that was it (inaudible)					
29:58.5	30:01.5	I thought it would be like a stuff I didn't know				SD	
30:01.8	30:03.2	but I knew it				SD	
30:03.2	30:04.3	and you were the teacher so					
30:04.3	30:07.9		I'm not a good teacher			SD	
30:08.4	30:15.1	because like what if I'm usually that					
30:15.1	30:18.3	so when I find that I was going to do					
30:18.3	30:20.0	so I was looking					
30:20.0	30:21.1	oh I'm like bad at math				SD	
30:21.1	30:22.8	this isn't going to be good					
30:22.8	30:25.4	and then I thought well actually it's probably help to					
30:25.4	30:26.6	like I'm bad at math					
30:26.8	30:31.2	because then I can figure out how to teach so many bit if they are anyway but					
30:31.2	30:32.2		it is nine o two p.m. pause filler				
30:32.2	30:35.9	really mine says eight twenty-five twenty-four					
30:35.9	30:36.9		mine says nine o two				
30:37.0	30:38.0	pause filler well					
30:38.9	30:40.6		who's right				
30:40.7	30:43.4	I got here seventy thirty					
30:44.2	30:46.2	I don't think we have been here for an hour and a half					
30:46.2	30:47.5	I don't know					
30:47.5	30:47.9		I don't know				
30:48.6	30:51.4	let's compromise and stay in the middle					
30:51.5	30:51.8		yeah (laughter)				
30:51.9	31:00.8	oh no it fell					
31:04.1	31:05.4	pause filler is there a trash					
31:07.2	31:10.3	oh well just leave it there for now					
31:10.5	31:22.7		thirty-second rule (laughter) I don't know why my eye keep twitching				
31:22.7	31:23.4	mm-hmm I mean (inaudible) the screen					
31:24.2	31:27.2		this is like the one eye sort of twitch (inaudible)				
31:28.0	31:29.2	huh that's weird					
31:29.8	31:32.0		my bangs are long				
31:32.0	31:33.8		I don't know				
31:33.8	31:40.1	do you usually like wear glasses				QE	
31:40.1	31:43.9	because that makes no sense					
31:43.0	31:43.9		(inaudible)				
31:43.9	31:44.0		no				
31:44.9	31:46.1		my eyes twitches sometimes		SD		
31:46.1	31:46.4		I noticed				
31:47.3	31:54.9	yeah it's not like something major like going partially blind or something					
31:55.0	31:56.2	so I wouldn't be worried about it					
31:56.2	31:56.3		ah (laughter)				
31:56.7	31:57.8	my eye is twitching					
31:57.8	32:00.1	somebody call the ambulance					
32:00.1	32:01.2	it's just a twitch					
32:01.2	32:01.6		yeah I know				
32:01.6	32:02.7		it's not (inaudible)				
32:03.1	32:04.6		it's just annoying				
32:05.1	32:07.1		yeah I have no idea what to do right now				
32:07.1	32:07.4	me neither					
32:07.8	32:24.4		this is like standing in a room with somebody you know				
32:24.9	32:27.3		it's just like what do I do				
32:27.3	32:29.7	you're not even standing in a room					
32:29.7	32:31.9	we're in different rooms					
32:31.9	32:34.5		it's like what do we do				
32:34.6	32:35.4		I know it's just				
32:35.4	32:36.1	like I'm not going to do this					
32:36.1	32:37.5	but (inaudible) on that wall and you could hear me					
