Begin Time - hh:mm:ss.ms	End Time - hh:mm:ss.ms	P1	Time	P2	SD_P1_Michelina	SD_P2_Michelina	SD_Notes_Michelina
00:02:56.900	00:03:07.300			yeah yeah yeah I suppose this probably works a little better with kids who are less knowledgeable about it			
00:03:07.700	00:03:08.000	yes					
00:03:08.000	00:03:12.900	but when it comes to advanced stuff I'm a little rusty on that but yeah			SD		
00:03:12.900	00:03:16.600			yeah I haven't really done algebra in a while		SD	
00:03:16.900	00:03:19.900			we're learning geometry this time of year pause filler		SD	
00:03:21.800	00:03:22.700	nice					
00:03:24.700	00:03:27.100			yeah last year was our algebra thing		SD	
00:03:27.100	00:03:30.000			have you taken keystones yet		QE	
00:03:30.100	00:03:36.500	pause filler last week pause filler one same Thursday I did the biology keystones					
00:03:36.600	00:03:38.400	and that's was it so					
00:03:38.800	00:03:45.500			okay yeah our school as part of our math program we do the keystones			
00:03:45.500	00:03:48.800			pause filler just before high school			
00:03:48.800	00:03:51.400			so we don't have to deal with it then			
00:03:51.400	00:03:52.900			just have to go through now			
00:03:54.200	00:03:57.300	that's good to get off your chest you know					
00:03:57.500	00:04:03.100			factoring polynomials is really the only thing that I've lost after that time		SD	
00:04:03.200	00:04:06.300			and overall it doesn't make a lot of sense to me			
00:04:06.300	00:04:07.400			I mean it make sense to me		SD	
00:04:07.400	00:04:11.400			but it doesn't seem like you would use it that much			
00:04:12.300	00:04:17.399			as opposed to geometry and algebra where a lot more common			
00:04:17.399	00:04:22.300			but factoring polynomials that's all like the stuff that doesn't really tangible			
00:04:23.100	00:04:25.800	mm-hmm yeah yeah					
00:04:25.800	00:04:27.100			is there like a verb for tangibleness			
00:04:27.400	00:04:27.600			things don't tangenate			
00:04:27.600	00:04:28.900	(laughter) I have no clue			SD		
00:04:28.900	00:04:29.100			yeah			
00:04:29.600	00:04:29.900	nice					
00:04:29.900	00:04:45.800			yeah well we're out of conversation topics then			
00:04:46.100	00:04:48.200	(laughter) won't you look at that right					
00:04:48.700	00:04:50.800			yup it didn't take that long at all			
00:04:50.900	00:04:51.200	no					
00:04:51.700	00:04:54.700			what do you see on your screen			
00:04:55.100	00:04:58.600			I see pause filler half of it is pause filler you and me			
00:04:58.600	00:05:01.800			and then the other half would be the desktop			
00:05:02.200	00:05:03.700	yup that's what I'm seeing					
00:05:04.200	00:05:05.000	it's blue pause filler					
00:05:05.000	00:05:08.600			see anything interesting on the desktop			
00:05:09.100	00:05:10.300	pause filler not really					
00:05:10.300	00:05:11.100	well there's Evernote					
00:05:11.400	00:05:13.500	it's a program					
00:05:13.500	00:05:14.900			I see a batch file on the desktop			
00:05:14.900	00:05:15.900			I wonder what it does			
00:05:16.800	00:05:19.500	pause filler let's see what else					
00:05:20.500	00:05:21.200	that's it					
00:05:21.700	00:05:22.700	I don't know					
00:05:22.700	00:05:23.700			does this work			
00:05:24.000	00:05:27.600			well I can't really interact with this until I get the pens			
00:05:27.600	00:05:30.500			so not a lot I can do until then			
00:05:30.500	00:05:31.700	seems very cool though					
00:05:31.700	00:05:32.800	they're very yeah					
00:05:32.800	00:05:40.300			yeah have you seen the cool robotic face recognition program that just was there		QE	
00:05:40.300	00:05:41.100	pause filler no					
00:05:41.400	00:05:42.800	I didn't get to see that					
00:05:43.100	00:05:43.300	no					
00:05:43.500	00:05:46.600			it was I forgot when this was it was probably a while ago			
00:05:46.600	00:05:50.900			but there was like pause filler we were just my mom was showing me where she worked			
00:05:51.400	00:05:57.300			pause filler and we classify like this face recognition pause filler robot thing			
00:05:57.300	00:06:05.400			just recognized whether or not we are happy or sad or like making happy or sad face or			
00:06:05.400	00:06:07.500			like a surprised face I guess was the third option			
00:06:07.700	00:06:09.600	that's very extraordinary wow					
00:06:10.300	00:06:10.700			yeah			
00:06:12.000	00:06:15.000	yeah that's cool all right					
00:06:15.000	00:06:17.200			I wonder what we'll be able to do soon			
00:06:17.200	00:06:19.300			and we'll be able to go to Mars			
00:06:19.300	00:06:20.100			(inaudible)			
00:06:20.100	00:06:28.100	yeah I feel like I'm in a kitchen right now because there's a microwave right on the table					
00:06:28.100	00:06:31.200	and behind the computer is a fridge					
00:06:31.800	00:06:35.000	and it's just a kitchen I guess					
00:06:35.300	00:06:37.500	a sink with I don't know					
00:06:37.500	00:06:41.200	I feel like I'm in the kitchen right now					
00:06:41.200	00:06:43.600			pause filler I am certainly in a presentation now			
00:06:43.800	00:06:46.700			there is a projector on the ceiling			
00:06:46.700	00:06:48.400			and I am surrounded by whiteboards			
00:06:48.400	00:06:52.000			I mean we won't be able to see if there's a whiteboard that way			
00:06:52.900	00:06:54.200			that way is the glass wall			
00:06:54.200	00:06:55.400			but it's supposed to be whiteboard			
00:06:55.400	00:06:56.400			and then behind me is whiteboard			
00:06:56.400	00:06:57.100			and all that is whiteboard			
00:06:58.000	00:07:00.300			and all this is whiteboard			
00:07:00.300	00:07:03.600			and there's a projector over there			
00:07:03.600	00:07:08.500			and pause filler oh yeah there is a microwave and a coffeemaker and a refrigerator			
00:07:10.400	00:07:10.800	nice					
00:07:12.600	00:07:13.700			yup			
00:07:14.000	00:07:16.500	did you have your day out					
00:07:18.200	00:07:22.800			I have all but forgotten what it was like to be outside today because I didn't pay attention		SD	
00:07:22.800	00:07:25.100			mostly I just walk inside			
00:07:25.300	00:07:27.000			and pause filler now I'm here			
00:07:28.300	00:07:29.500			I don't pay attention too much			
00:07:30.100	00:07:31.500			it's kind of in the way			
00:07:33.500	00:07:33.900	okay					
00:07:34.500	00:07:37.400			and it looks like our thing is about to starty			
00:08:14.800	00:08:18.000	what is plain green text again					
00:08:25.900	00:08:26.700	all right great					
00:08:32.400	00:08:33.799	all right thanks					
00:08:34.650	00:19:20.620		T1 				
00:08:35.000	00:08:35.600	all right hi					
00:08:35.600	00:08:39.000	are you ready to get this math started			QE		
00:08:39.700	00:08:43.200	all right all right so pause filler					
00:08:43.200	00:08:46.800			I'd probably be better if this was a mouse		SD	
00:08:46.800	00:08:53.200			let's see back back back back back back back back back back back back back back back back			
00:08:53.200	00:08:54.600			okay I'm ready		SD	
00:08:54.600	00:08:59.100	all right so in this equation it looks like x our variable					
00:09:00.600	00:09:01.300	oops that's					
00:09:01.300	00:09:02.900			yup that's the variable yup			
00:09:02.900	00:09:06.400	yup it's being subtracted by six and so just					
00:09:06.400	00:09:07.600			equals thirteen			
00:09:07.900	00:09:10.600	so yeah it equals thirteen so					
00:09:10.600	00:09:17.500			solve it because that also means if you add the six to both sides because that's how I do this			
00:09:18.000	00:09:18.800			I got it		SD	
00:09:18.800	00:09:20.900			this is worse than writing on paper			
00:09:20.900	00:09:21.800			and I'm bad at this		SD	
00:09:22.100	00:09:25.600			which means x equals thirteen plus			
00:09:26.100	00:09:27.900			wait that's the point			
00:09:28.800	00:09:29.400			six			
00:09:29.700	00:09:33.600			which means x equals nineteen			
00:09:34.000	00:09:34.500	awesome					
00:09:34.600	00:09:36.500	yup it seems like it got it					
00:09:36.500	00:09:39.900	all right and so I guess we clicked the arrow					
00:09:39.900	00:09:42.000			next page next			
00:09:42.600	00:09:42.900	perfect					
00:09:43.800	00:09:47.100			oh fifteen equals negative eight plus p			
00:09:47.400	00:09:50.000	so appears to be the same thing					
00:09:50.100	00:09:55.700	we want to add eight to get the variable one and that's					
00:09:55.700	00:10:04.100			yup I know we just have pause filler fifteen less eight equals p			
00:10:04.100	00:10:12.000			is that fifteen plus eight doing about (inaudible) stop working sixteen			
00:10:12.100	00:10:13.300			wait no that can't be write			
00:10:13.300	00:10:15.200			ah green work			
00:10:15.800	00:10:16.900			it's twenty-three			
00:10:16.900	00:10:18.600			there we go			
00:10:18.600	00:10:26.300			so fifteen plus eight equals twenty-three which means twenty-three equals			
00:10:26.300	00:10:27.100	equals p					
00:10:28.000	00:10:28.200			p			
00:10:28.200	00:10:30.600	eight seems like					
00:10:30.600	00:10:32.400			twenty-three let's just say that			
00:10:32.600	00:10:33.100			there we go			
00:10:33.100	00:10:33.900	twenty-three equals					
00:10:33.900	00:10:34.500			page			
00:10:35.200	00:10:37.600	next page there we go					
00:10:37.800	00:10:39.900			seventeen equals k plus eleven			
00:10:40.200	00:10:43.600			well this time we'll have to subtract from this side of stuff			
00:10:43.600	00:10:45.300	yup because it is being					
00:10:45.500	00:10:48.500			yup because this time it's pause filler here yeah			
00:10:48.800	00:10:55.000			mine is eleven so that means that pause filler six equals k			
00:10:57.100	00:11:00.800			for the next page I see them			
00:11:00.800	00:11:03.000			so forty-four x minus			
00:11:03.300	00:11:05.200	so forty-four (inaudible) multiply					
00:11:05.200	00:11:06.600			oh that's an equal sign			
00:11:06.600	00:11:08.400			I was like it just looked like minus			
00:11:08.800	00:11:13.100			oh so yup forty-four times x equals negative two twenty which means that			
00:11:13.100	00:11:15.500	so the opposite of it so then you would pause filler					
00:11:16.500	00:11:18.100			wait is that negative two twenty			
00:11:18.100	00:11:19.500			or what's going on right now			
00:11:19.500	00:11:23.000	pause filler I just see forty-four x equals twenty					
00:11:23.000	00:11:24.200	yeah I don't see negative					
00:11:24.200	00:11:26.400			the top line is kind of like weird			
00:11:26.400	00:11:27.100	all right					
00:11:27.100	00:11:37.200			so just yeah pause filler so I see we just x equals two twenty divided by forty-four			
00:11:37.200	00:11:38.000			god damn it			
00:11:38.500	00:11:41.500			which pause filler divided by two zero			
00:11:41.500	00:11:47.300			let's just say divided by yeah divided by two			
00:11:47.300	00:11:53.800			okay pause filler which means that one no one one zero			
00:11:53.800	00:11:55.200			damn it			
00:11:55.200	00:11:58.000	all right well we can do it					
00:11:58.000	00:11:59.300			divided by twenty-two			
00:11:59.300	00:12:00.400	if that way works for you					
00:12:00.400	00:12:01.400	we can do it that way but					
00:12:01.600	00:12:03.400			yeah which way do you usually do it yeah			
00:12:04.200	00:12:06.900	to tell you the truth I'll probably just use the calculator					
00:12:06.900	00:12:09.200	but since I don't have that					
00:12:09.200	00:12:13.300	pause filler we could set up where pause filler (inaudible) twenty					
00:12:14.600	00:12:18.100	then to go like this					
00:12:18.500	00:12:20.200			I mean we could factor it yeah			
00:12:21.300	00:12:23.000	yeah this is the longest way					
00:12:23.000	00:12:25.000	but if we could do that way or wherever way					
00:12:25.000	00:12:25.600			that's (inaudible) yeah pause filler			
00:12:25.700	00:12:28.300	but if you want to factor it go ahead					
00:12:29.100	00:12:31.000			let's see			
00:12:31.000	00:12:33.500			I feel like this would be a little easier on paper		SD	
00:12:33.700	00:12:38.500			okay one one zero to be like fifty			
00:12:38.500	00:12:41.000			and then that would be five			
00:12:41.000	00:12:42.000			would that be fifty-five			
00:12:42.100	00:12:43.000			oh I think so			
00:12:43.200	00:12:45.800			yeah fifty-five over eleven			
00:12:45.800	00:12:49.800	and then we can check					
00:12:49.800	00:12:54.500			oh wait doesn't that just mean that it's five over five wait five			
00:12:54.500	00:12:56.000	I'm actually not sure			SD		
00:12:56.300	00:12:57.300			I'm not sure either		SD	
00:12:57.300	00:13:00.200			let's just say x equals five			
00:13:00.500	00:13:02.000			bam simplify everything			
00:13:02.700	00:13:04.600			let's just assume that's right			
00:13:05.500	00:13:10.900			and if all else fails x equals two twenty over forty-four			
00:13:13.800	00:13:14.300	all right					
00:13:14.300	00:13:15.500			bam close enough			
00:13:15.500	00:13:18.000	all right so I assume					
00:13:18.700	00:13:22.100			negative nine plus thirteen p equals forty-one			
00:13:22.600	00:13:28.700	so first step is to add the constant I think it's called					
00:13:29.500	00:13:33.500			yeah I guess because the quotient is this thing that you multiply by five			
00:13:33.700	00:13:35.100	yeah yeah the constant					
00:13:35.400	00:13:36.200			so yeah			
00:13:36.500	00:13:37.300	so both that yeah					
00:13:37.300	00:13:38.800	so add nine					
00:13:40.500	00:13:46.200			so then fifty equals thirteen p			
00:13:46.800	00:13:57.900			which means that p equals fifteen over thirty oh no fifty over thirteen			
00:13:57.900	00:13:58.300			correct			
00:13:59.600	00:14:03.400			which means that pause filler and you can't simplify that because p is prime			
00:14:03.400	00:14:04.600			bam next			
00:14:05.100	00:14:07.000			or because thirteen is prime			
00:14:07.100	00:14:07.600	perfect					
00:14:08.000	00:14:08.300			yup			
00:14:08.300	00:14:12.900	all right another same problem					
00:14:14.400	00:14:15.100	pause filler so first step					
00:14:16.000	00:14:16.900	subtract ten					
00:14:17.000	00:14:17.900			yeah subtract ten			
00:14:17.900	00:14:18.800			so six x			
00:14:18.800	00:14:20.900	just like the last one except					
00:14:20.900	00:14:23.300			equals twenty-four			
00:14:24.700	00:14:26.500	yup and then divide					
00:14:26.500	00:14:30.100			which means divide it by four so six			
00:14:31.100	00:14:33.800			yeah pause filler so twenty-four			
00:14:33.800	00:14:35.000			I know that's easy			
00:14:35.100	00:14:35.700			it's like four			
00:14:35.700	00:14:36.300			is that four			
00:14:36.300	00:14:36.800			I think that's four			
00:14:36.800	00:14:37.400	yup it's four					
00:14:38.000	00:14:40.600			x equals four			
00:14:41.100	00:14:43.000			so good at writing on this			
00:14:44.500	00:14:46.300			okay next			
00:14:46.800	00:14:47.900			next click			
00:14:47.900	00:14:48.300			I'm clicking			
00:14:48.300	00:14:49.200			I'm trying to click oh			
00:14:49.200	00:14:52.600	oh yeah I get it oh wait					
00:14:52.600	00:14:53.100	I think (inaudible)					
00:14:53.100	00:14:53.800			yeah I think (inaudible)			
00:14:54.100	00:14:54.300	pause filler wait					
00:14:54.300	00:14:55.200			there we go			
00:14:55.200	00:14:56.300	seven number seven					
00:14:56.800	00:14:57.400			seven			
00:14:57.400	00:14:58.800			there we go pause filler			
00:14:59.400	00:15:02.400	forty equals negative twenty-two plus fifteen k					
00:15:02.400	00:15:05.900			plus well first step would be to add the thing so pause filler yup			
00:15:06.100	00:15:09.600	yeah twenty-two to both sides					
00:15:09.600	00:15:15.600			sixty-two equals fifteen k yeah			
00:15:15.800	00:15:17.000	sixty yup					
00:15:17.000	00:15:21.200	and then you're going to want to divide fifteen k to both sides					
00:15:21.200	00:15:28.600			so then sixty-two divided by fifteen equals k			
00:15:28.600	00:15:29.400			yay			
00:15:30.300	00:15:32.100			pause filler can we simplify that			
00:15:32.100	00:15:33.000			I don't know			
00:15:33.000	00:15:36.400			okay I don't think so because it would have to be a five right			
00:15:36.900	00:15:37.200	yeah					
00:15:38.500	00:15:42.000			pause filler oh we won't be able to divide it by three			
00:15:42.000	00:15:42.700			but I don't care anymore			
00:15:42.800	00:15:47.000			so okay so well first is that an equals			
00:15:47.000	00:15:48.100	that's not a minus					
00:15:48.100	00:15:49.000			okay that's an equals			
00:15:49.100	00:15:49.900			there we go			
00:15:49.900	00:15:50.600			that's an equals			
00:15:51.800	00:15:55.400			pause filler thirty-three minus twelve plus seven			
00:15:57.300	00:16:02.400			so then first we'd have to pause filler minus the twelve			
00:16:03.200	00:16:03.900	yup					
00:16:03.900	00:16:08.300			so pause filler thirty-three minus twelve equals			
00:16:09.400	00:16:11.600			pause filler twenty-one			
00:16:11.600	00:16:15.300			so twenty-one equals seven x yup			
00:16:15.400	00:16:17.000	and then what again to do off of that					
00:16:17.400	00:16:18.700			seven x			
00:16:18.700	00:16:21.300			and after that I'll just that's seventy-eight			
00:16:21.500	00:16:23.800			I'm touching random buttons			
00:16:23.900	00:16:28.600			pause filler which means that pause filler x equals three because yeah			
00:16:28.600	00:16:31.500	because yeah seven divided by twenty-one equals three					
00:16:33.100	00:16:34.700	and we cannot simplify that anymore					
00:16:35.100	00:16:37.300			yup because three is just three three			
00:16:37.600	00:16:40.500	so this one there's pause filler we're going to do it step by step					
00:16:40.900	00:16:43.200	and we can do it like					
00:16:43.800	00:16:46.500			let's just subtract p first so that begins			
00:16:46.500	00:16:47.300	subtract p first					
00:16:47.500	00:16:48.400	that's a good					
00:16:48.600	00:16:51.900			fifteen equals two p yup			
00:16:51.900	00:16:55.100	all right and then plus twelve					
00:16:55.700	00:16:57.400	and then let's add					
00:16:57.600	00:16:58.400			subtract twelve right			
00:16:58.400	00:16:58.800			that would make			
00:16:58.800	00:16:59.600	subtract twelve					
00:16:59.600	00:17:01.200	yup that would be the next step all right					
00:17:01.200	00:17:03.400			yup pause filler so then subtract twelve			
00:17:03.400	00:17:08.099			it would just be three equals two p			
00:17:08.099	00:17:15.400			and that means that p equals three over two			
00:17:15.400	00:17:17.900			and we can't simplify that because both of them are prime			
00:17:18.500	00:17:19.000	perfect					
00:17:19.200	00:17:19.700	that's great					
00:17:19.900	00:17:20.400			wonderful			
00:17:22.300	00:17:23.400	oop I skipped one					
00:17:23.400	00:17:24.700	oops number ten					
00:17:25.300	00:17:26.400	yup last problem					
00:17:26.400	00:17:27.000	number ten					
00:17:27.300	00:17:31.700	so again we can do it we can pause filler start we can do lots of things					
00:17:31.700	00:17:34.000	but let's just start off simpl with the k					
00:17:34.500	00:17:35.800	and get that out of the way first					
00:17:36.400	00:17:38.000			okay so that would mean we subtract the k			
00:17:38.000	00:17:48.000			so that means that negative ten equals seven k minus sixty-eight okay			
00:17:48.100	00:17:48.800	yup					
00:17:48.800	00:17:50.700			okay bam			
00:17:51.400	00:17:52.500			that's it pause filler			
00:17:53.400	00:17:58.600			and that means that we can add sixty-eight			
00:17:58.600	00:17:59.800			so that means that pause filler			
00:17:59.800	00:18:00.300			oh crap			
00:18:00.300	00:18:02.900			what's negative ten plus sixty-eight			
00:18:02.900	00:18:06.300			it's fifty-eight okay fifty-eight			
00:18:06.300	00:18:06.700			god damn it			
00:18:06.700	00:18:08.700			I keep I'm holding this like a pencil			
00:18:08.700	00:18:14.000			so I keep pressing buttons that are weird because these things have button on the weird side			
00:18:14.600	00:18:18.900			pause filler fifty-eight equals seven k			
00:18:18.900	00:18:21.400			and fifty-eight is divisible by seven right			
00:18:21.400	00:18:23.100			now it's fifty-six right			
00:18:23.100	00:18:24.400	wait what did you just do pause filler with eight					
00:18:24.400	00:18:27.000			pause filler I added sixty-eight to both sides			
00:18:27.000	00:18:28.400	okay yup and yeah sixty-eight					
00:18:28.400	00:18:30.000	so then you get fifty-eight					
00:18:30.000	00:18:32.200	and then so then try to divide by seven and					
00:18:32.300	00:18:36.500			don't you even divide that by like I feel that's like no that's six			
00:18:36.500	00:18:37.900			I think I'm thinking of six points			
00:18:37.900	00:18:38.600			no that's eight			
00:18:38.600	00:18:38.800			oh crap			
00:18:39.100	00:18:40.600			pause filler well I know that seven is prime anyway			
00:18:40.600	00:18:41.400			so it doesn't matter all right			
00:18:41.400	00:18:42.800	so wait I mean let's just like count up by seven					
00:18:42.800	00:18:44.000	so three times seven twenty-one					
00:18:44.000	00:18:45.000	four times seven thirty-eight					
00:18:45.000	00:18:45.500	divide by seven					
00:18:45.500	00:18:45.900			thirty-five			
00:18:45.900	00:18:46.600	six times seven					
00:18:46.600	00:18:47.100			forty-two and			
00:18:47.100	00:18:47.700	seven times seven					
00:18:47.700	00:18:48.100			forty-nine			
00:18:48.100	00:18:48.800			so then fifty-six			
00:18:48.800	00:18:49.700			so yeah that's the basic form			
00:18:49.700	00:18:50.800			and this is the one more that they tell us to go			
00:18:51.300	00:18:52.400			it just accidentally broke			
00:18:52.400	00:18:53.700			sorry I'm really sorry			
00:18:53.700	00:18:54.800			pause filler I like to pay for anyone			
00:18:54.800	00:18:56.600			basically what happened was I was doodling on this board			
00:18:56.600	00:18:57.800			and I pressed down too hard			
00:18:57.800	00:18:58.800			and this thing separated here			
00:18:58.800	00:19:00.100			and I was trying to put it back together			
00:19:00.100	00:19:00.900			and it like broke up			
00:19:00.900	00:19:01.800			I like to buy a new one			
00:19:01.800	00:19:02.000			I'm sorry			
00:19:02.000	00:19:02.900			I feel like I've done nothing			
00:19:02.900	00:19:03.100			but (inaudible)			
00:19:07.300	00:19:07.800			thank you			
00:19:07.900	00:19:08.000			yeah			
00:19:08.000	00:19:08.700			this is what I bring			
00:19:13.100	00:19:13.400	yeah oh okay					
00:19:17.700	00:19:18.800	cool ah the whole screen froze					
00:19:18.800	00:20:33.600	I had to reboot everything					
00:20:33.600	00:20:42.200	and then everything was not working					
00:21:37.200	00:21:38.700			thank you			
00:21:38.700	00:21:45.400			you're all very nice			
00:22:04.000	00:22:04.600	okay					
00:22:04.700	00:22:05.400			okay			
00:22:14.000	00:22:15.400	sounds good					
00:22:15.400	00:22:22.200			it's the weirdest thing			
00:22:23.270	00:28:55.540		S2 				
00:22:26.200	00:22:31.500			I'm just a technological curse		SD	
00:22:32.100	00:22:36.900			wherever I exist I just bring bad computer things		SD	
00:22:38.800	00:22:47.100	sounds miserable					
00:22:48.800	00:23:06.800	what's your favorite flavor skill			QE		
00:23:08.300	00:23:12.900			I don't know			
00:23:12.900	00:23:14.100	(inaudible)					
00:23:14.100	00:23:14.800	there's grape					
00:23:15.500	00:23:17.300			I probably guess green apple			
00:23:17.300	00:23:25.400	I think I like the red			SD		
00:23:26.600	00:23:27.000	cherry					
00:23:30.500	00:23:58.700	have you pause filler seen pause filler Captain America: Civil War			QE		
00:24:00.300	00:24:00.700			I don't know			
00:24:00.700	00:24:04.700	I mean I see it					
00:24:05.800	00:24:08.400			(inaudible) oh okay continue			
00:24:09.800	00:24:14.900	oh I'm going to see it after this			SD		
00:24:14.900	00:24:16.500			oh cool			
00:24:18.600	00:24:25.900	yeah $5 with free popcorn at the Waterworks					
00:24:26.800	00:24:30.000	so pretty good deal					
00:24:30.100	00:24:32.400			I guess so			
00:24:34.400	00:24:40.700			yup yup			
00:24:43.300	00:24:49.200	so what middle school do you go to right now			QE		
00:24:49.000	00:24:50.000			Colfax		SD	
00:24:50.600	00:24:51.200	oh nice					
00:24:54.900	00:25:01.300	so do you pause filler do you remember any of the upperclassmen guy that I had last year			QE		
00:25:02.400	00:25:04.700			upperclassmen pause filler yeah a few of them		SD	
00:25:04.700	00:25:10.800			who are you thinking in particular			
00:25:13.300	00:25:14.800	I don't know					
00:25:14.800	00:25:19.500	I know most of the kids from Colfax pause filler and on Dice now so					
00:25:19.900	00:25:22.300			what about Cal		QE	
00:25:22.300	00:25:24.000	oh yeah I know Cal (laughter)			SD		
00:25:25.400	00:25:30.100	he did a presentation today in class pause filler on his quadcopter					
00:25:30.100	00:25:31.300	it's really cool					
00:25:32.000	00:25:34.400	he crashed it though					
00:25:34.400	00:25:34.500			oh			
00:25:34.800	00:25:37.900	not really yeah yeah					
00:25:39.000	00:25:46.200			yup and pause filler I imagine you know Tim Danger or Danger Danger			
00:25:46.200	00:25:47.500	pause filler I don't I don't					
00:25:47.500	00:25:48.700			oh you don't			
00:25:50.800	00:25:53.300			yeah actually (inaudible) well if Allderdice			
00:25:53.500	00:25:58.400			but pause filler basically his wills annoying bigger brother			
00:25:58.400	00:26:07.800			Will (inaudible) is annoying bigger brother that on Allderdice I think			
00:26:07.800	00:26:08.400	I know Will			SD		
00:26:08.900	00:26:11.900	I don't know Tim though			SD		
00:26:11.900	00:26:13.300			really you know Will			
00:26:13.900	00:26:17.500	yup he does band					
00:26:17.600	00:26:18.600	so I met him there					
00:26:19.300	00:26:19.600			oh nice			
00:26:20.200	00:26:23.700	but I do not know Tim					
00:26:25.300	00:26:25.800			yup			
00:26:29.100	00:26:29.600	do you know pause filler Kozuma			QE		
00:26:29.600	00:26:30.500			Kozuma as in			
00:26:31.000	00:26:33.500			is that a ninth grader			
00:26:35.200	00:26:35.700	yeah					
00:26:35.700	00:26:39.800			I don't know a lot of the ninth graders		SD	
00:26:40.800	00:26:45.600			his name is familiar but			
00:26:47.800	00:27:09.300	so I'm pretty sure you're going to be able to tutor now so					
00:27:10.500	00:27:10.600			yeah			
00:27:12.100	00:27:13.900	you get all the power					
00:27:13.900	00:27:23.100			well so you'll be glad to get out of here		SD	well honesty i'll be glad to get out of here
00:27:23.100	00:27:27.500			I kind of feel bad for breaking the stylus thing		SD	
00:27:33.100	00:27:33.500	oh well					
00:27:38.000	00:27:48.300			yeah and I almost feel partially responsible for making all of this weird stuff happen like the server exploding		SD	
00:27:48.300	00:27:48.500	yeah					
00:27:48.500	00:27:48.900			there there there there			
00:27:48.900	00:27:52.700			why isn't it			
00:27:52.800	00:28:03.400			I'm just not even going to touch it			
00:28:04.800	00:28:04.900			aw			
00:28:06.200	00:28:16.100			they must be like trembling around like mad to try to get this fixed			
00:28:16.500	00:28:16.800	yeah					
00:28:17.200	00:28:17.500			hi			
00:28:47.900	00:28:55.700			again I'm very sorry			
00:28:55.900	00:28:57.600			I'm very sorry			
