Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,P1,Time,P2,SD_P1_Michelina,SD_P2_Michelina,SD_Notes_Michelina
07:25.3,07:27.0,,,and pause filler now I'm here,,,
07:28.3,07:29.5,,,I don't pay attention too much,,,
07:30.1,07:31.5,,,it's kind of in the way,,,
07:33.5,07:33.9,okay,,,,,
07:34.5,07:37.4,,,and it looks like our thing is about to starty,,,
08:14.8,08:18.0,what is plain green text again,,,,,
08:25.9,08:26.7,all right great,,,,,
08:32.4,08:33.8,all right thanks,,,,,
08:34.7,19:20.6,,T1 ,,,,
08:35.0,08:35.6,all right hi,,,,,
08:35.6,08:39.0,are you ready to get this math started,,,QE,,
08:39.7,08:43.2,all right all right so pause filler,,,,,
08:43.2,08:46.8,,,I'd probably be better if this was a mouse,,SD,
08:46.8,08:53.2,,,let's see back back back back back back back back back back back back back back back back,,,
08:53.2,08:54.6,,,okay I'm ready,,SD,
08:54.6,08:59.1,all right so in this equation it looks like x our variable,,,,,
09:00.6,09:01.3,oops that's,,,,,
09:01.3,09:02.9,,,yup that's the variable yup,,,
09:02.9,09:06.4,yup it's being subtracted by six and so just,,,,,
09:06.4,09:07.6,,,equals thirteen,,,
09:07.9,09:10.6,so yeah it equals thirteen so,,,,,
09:10.6,09:17.5,,,solve it because that also means if you add the six to both sides because that's how I do this,,,
09:18.0,09:18.8,,,I got it,,SD,
09:18.8,09:20.9,,,this is worse than writing on paper,,,
09:20.9,09:21.8,,,and I'm bad at this,,SD,
09:22.1,09:25.6,,,which means x equals thirteen plus,,,
09:26.1,09:27.9,,,wait that's the point,,,
09:28.8,09:29.4,,,six,,,
09:29.7,09:33.6,,,which means x equals nineteen,,,
09:34.0,09:34.5,awesome,,,,,
09:34.6,09:36.5,yup it seems like it got it,,,,,
09:36.5,09:39.9,all right and so I guess we clicked the arrow,,,,,
09:39.9,09:42.0,,,next page next,,,
09:42.6,09:42.9,perfect,,,,,
09:43.8,09:47.1,,,oh fifteen equals negative eight plus p,,,
09:47.4,09:50.0,so appears to be the same thing,,,,,
09:50.1,09:55.7,we want to add eight to get the variable one and that's,,,,,
09:55.7,10:04.1,,,yup I know we just have pause filler fifteen less eight equals p,,,
10:04.1,10:12.0,,,is that fifteen plus eight doing about (inaudible) stop working sixteen,,,
10:12.1,10:13.3,,,wait no that can't be write,,,
10:13.3,10:15.2,,,ah green work,,,
10:15.8,10:16.9,,,it's twenty-three,,,
10:16.9,10:18.6,,,there we go,,,
10:18.6,10:26.3,,,so fifteen plus eight equals twenty-three which means twenty-three equals,,,
10:26.3,10:27.1,equals p,,,,,
10:28.0,10:28.2,,,p,,,
10:28.2,10:30.6,eight seems like,,,,,
10:30.6,10:32.4,,,twenty-three let's just say that,,,
10:32.6,10:33.1,,,there we go,,,
10:33.1,10:33.9,twenty-three equals,,,,,
10:33.9,10:34.5,,,page,,,
10:35.2,10:37.6,next page there we go,,,,,
10:37.8,10:39.9,,,seventeen equals k plus eleven,,,
10:40.2,10:43.6,,,well this time we'll have to subtract from this side of stuff,,,
10:43.6,10:45.3,yup because it is being,,,,,
10:45.5,10:48.5,,,yup because this time it's pause filler here yeah,,,
10:48.8,10:55.0,,,mine is eleven so that means that pause filler six equals k,,,
10:57.1,11:00.8,,,for the next page I see them,,,
11:00.8,11:03.0,,,so forty-four x minus,,,
11:03.3,11:05.2,so forty-four (inaudible) multiply,,,,,
11:05.2,11:06.6,,,oh that's an equal sign,,,
11:06.6,11:08.4,,,I was like it just looked like minus,,,
11:08.8,11:13.1,,,oh so yup forty-four times x equals negative two twenty which means that,,,
11:13.1,11:15.5,so the opposite of it so then you would pause filler,,,,,
11:16.5,11:18.1,,,wait is that negative two twenty,,,
11:18.1,11:19.5,,,or what's going on right now,,,
11:19.5,11:23.0,pause filler I just see forty-four x equals twenty,,,,,
11:23.0,11:24.2,yeah I don't see negative,,,,,
11:24.2,11:26.4,,,the top line is kind of like weird,,,
11:26.4,11:27.1,all right,,,,,
11:27.1,11:37.2,,,so just yeah pause filler so I see we just x equals two twenty divided by forty-four,,,
11:37.2,11:38.0,,,god damn it,,,
11:38.5,11:41.5,,,which pause filler divided by two zero,,,
11:41.5,11:47.3,,,let's just say divided by yeah divided by two,,,
11:47.3,11:53.8,,,okay pause filler which means that one no one one zero,,,
11:53.8,11:55.2,,,damn it,,,
11:55.2,11:58.0,all right well we can do it,,,,,
11:58.0,11:59.3,,,divided by twenty-two,,,
11:59.3,12:00.4,if that way works for you,,,,,
12:00.4,12:01.4,we can do it that way but,,,,,
12:01.6,12:03.4,,,yeah which way do you usually do it yeah,,,
12:04.2,12:06.9,to tell you the truth I'll probably just use the calculator,,,,,
12:06.9,12:09.2,but since I don't have that,,,,,
12:09.2,12:13.3,pause filler we could set up where pause filler (inaudible) twenty,,,,,
12:14.6,12:18.1,then to go like this,,,,,
12:18.5,12:20.2,,,I mean we could factor it yeah,,,
12:21.3,12:23.0,yeah this is the longest way,,,,,
12:23.0,12:25.0,but if we could do that way or wherever way,,,,,
12:25.0,12:25.6,,,that's (inaudible) yeah pause filler,,,
12:25.7,12:28.3,but if you want to factor it go ahead,,,,,
12:29.1,12:31.0,,,let's see,,,
12:31.0,12:33.5,,,I feel like this would be a little easier on paper,,SD,
12:33.7,12:38.5,,,okay one one zero to be like fifty,,,
12:38.5,12:41.0,,,and then that would be five,,,
12:41.0,12:42.0,,,would that be fifty-five,,,
12:42.1,12:43.0,,,oh I think so,,,
12:43.2,12:45.8,,,yeah fifty-five over eleven,,,
12:45.8,12:49.8,and then we can check,,,,,
12:49.8,12:54.5,,,oh wait doesn't that just mean that it's five over five wait five,,,
12:54.5,12:56.0,I'm actually not sure,,,SD,,
12:56.3,12:57.3,,,I'm not sure either,,SD,
12:57.3,13:00.2,,,let's just say x equals five,,,
13:00.5,13:02.0,,,bam simplify everything,,,
13:02.7,13:04.6,,,let's just assume that's right,,,
13:05.5,13:10.9,,,and if all else fails x equals two twenty over forty-four,,,
13:13.8,13:14.3,all right,,,,,
13:14.3,13:15.5,,,bam close enough,,,
13:15.5,13:18.0,all right so I assume,,,,,
13:18.7,13:22.1,,,negative nine plus thirteen p equals forty-one,,,
13:22.6,13:28.7,so first step is to add the constant I think it's called,,,,,
13:29.5,13:33.5,,,yeah I guess because the quotient is this thing that you multiply by five,,,
13:33.7,13:35.1,yeah yeah the constant,,,,,
13:35.4,13:36.2,,,so yeah,,,
13:36.5,13:37.3,so both that yeah,,,,,
13:37.3,13:38.8,so add nine,,,,,
13:40.5,13:46.2,,,so then fifty equals thirteen p,,,
13:46.8,13:57.9,,,which means that p equals fifteen over thirty oh no fifty over thirteen,,,
13:57.9,13:58.3,,,correct,,,
13:59.6,14:03.4,,,which means that pause filler and you can't simplify that because p is prime,,,
14:03.4,14:04.6,,,bam next,,,
14:05.1,14:07.0,,,or because thirteen is prime,,,
14:07.1,14:07.6,perfect,,,,,
14:08.0,14:08.3,,,yup,,,
14:08.3,14:12.9,all right another same problem,,,,,
14:14.4,14:15.1,pause filler so first step,,,,,
14:16.0,14:16.9,subtract ten,,,,,
14:17.0,14:17.9,,,yeah subtract ten,,,
14:17.9,14:18.8,,,so six x,,,
14:18.8,14:20.9,just like the last one except,,,,,
14:20.9,14:23.3,,,equals twenty-four,,,
14:24.7,14:26.5,yup and then divide,,,,,
14:26.5,14:30.1,,,which means divide it by four so six,,,
14:31.1,14:33.8,,,yeah pause filler so twenty-four,,,
14:33.8,14:35.0,,,I know that's easy,,,
14:35.1,14:35.7,,,it's like four,,,
14:35.7,14:36.3,,,is that four,,,
14:36.3,14:36.8,,,I think that's four,,,
14:36.8,14:37.4,yup it's four,,,,,
14:38.0,14:40.6,,,x equals four,,,
14:41.1,14:43.0,,,so good at writing on this,,,
14:44.5,14:46.3,,,okay next,,,
14:46.8,14:47.9,,,next click,,,
14:47.9,14:48.3,,,I'm clicking,,,
14:48.3,14:49.2,,,I'm trying to click oh,,,
14:49.2,14:52.6,oh yeah I get it oh wait,,,,,
14:52.6,14:53.1,I think (inaudible),,,,,
14:53.1,14:53.8,,,yeah I think (inaudible),,,
14:54.1,14:54.3,pause filler wait,,,,,
14:54.3,14:55.2,,,there we go,,,
14:55.2,14:56.3,seven number seven,,,,,
14:56.8,14:57.4,,,seven,,,
14:57.4,14:58.8,,,there we go pause filler,,,
14:59.4,15:02.4,forty equals negative twenty-two plus fifteen k,,,,,
15:02.4,15:05.9,,,plus well first step would be to add the thing so pause filler yup,,,
15:06.1,15:09.6,yeah twenty-two to both sides,,,,,
15:09.6,15:15.6,,,sixty-two equals fifteen k yeah,,,
15:15.8,15:17.0,sixty yup,,,,,
15:17.0,15:21.2,and then you're going to want to divide fifteen k to both sides,,,,,
15:21.2,15:28.6,,,so then sixty-two divided by fifteen equals k,,,
15:28.6,15:29.4,,,yay,,,
15:30.3,15:32.1,,,pause filler can we simplify that,,,
15:32.1,15:33.0,,,I don't know,,,
15:33.0,15:36.4,,,okay I don't think so because it would have to be a five right,,,
15:36.9,15:37.2,yeah,,,,,
15:38.5,15:42.0,,,pause filler oh we won't be able to divide it by three,,,
15:42.0,15:42.7,,,but I don't care anymore,,,
15:42.8,15:47.0,,,so okay so well first is that an equals,,,
15:47.0,15:48.1,that's not a minus,,,,,
15:48.1,15:49.0,,,okay that's an equals,,,
15:49.1,15:49.9,,,there we go,,,
15:49.9,15:50.6,,,that's an equals,,,
15:51.8,15:55.4,,,pause filler thirty-three minus twelve plus seven,,,
15:57.3,16:02.4,,,so then first we'd have to pause filler minus the twelve,,,
16:03.2,16:03.9,yup,,,,,
16:03.9,16:08.3,,,so pause filler thirty-three minus twelve equals,,,
16:09.4,16:11.6,,,pause filler twenty-one,,,
16:11.6,16:15.3,,,so twenty-one equals seven x yup,,,
16:15.4,16:17.0,and then what again to do off of that,,,,,
16:17.4,16:18.7,,,seven x,,,
16:18.7,16:21.3,,,and after that I'll just that's seventy-eight,,,
16:21.5,16:23.8,,,I'm touching random buttons,,,
16:23.9,16:28.6,,,pause filler which means that pause filler x equals three because yeah,,,
16:28.6,16:31.5,because yeah seven divided by twenty-one equals three,,,,,
16:33.1,16:34.7,and we cannot simplify that anymore,,,,,
16:35.1,16:37.3,,,yup because three is just three three,,,
16:37.6,16:40.5,so this one there's pause filler we're going to do it step by step,,,,,
16:40.9,16:43.2,and we can do it like,,,,,
16:43.8,16:46.5,,,let's just subtract p first so that begins,,,
16:46.5,16:47.3,subtract p first,,,,,
16:47.5,16:48.4,that's a good,,,,,
16:48.6,16:51.9,,,fifteen equals two p yup,,,
16:51.9,16:55.1,all right and then plus twelve,,,,,
16:55.7,16:57.4,and then let's add,,,,,
16:57.6,16:58.4,,,subtract twelve right,,,
16:58.4,16:58.8,,,that would make,,,
16:58.8,16:59.6,subtract twelve,,,,,
16:59.6,17:01.2,yup that would be the next step all right,,,,,
17:01.2,17:03.4,,,yup pause filler so then subtract twelve,,,
17:03.4,17:08.1,,,it would just be three equals two p,,,
17:08.1,17:15.4,,,and that means that p equals three over two,,,
17:15.4,17:17.9,,,and we can't simplify that because both of them are prime,,,
17:18.5,17:19.0,perfect,,,,,
17:19.2,17:19.7,that's great,,,,,
17:19.9,17:20.4,,,wonderful,,,
17:22.3,17:23.4,oop I skipped one,,,,,
17:23.4,17:24.7,oops number ten,,,,,
17:25.3,17:26.4,yup last problem,,,,,
17:26.4,17:27.0,number ten,,,,,
17:27.3,17:31.7,so again we can do it we can pause filler start we can do lots of things,,,,,
17:31.7,17:34.0,but let's just start off simpl with the k,,,,,
17:34.5,17:35.8,and get that out of the way first,,,,,
17:36.4,17:38.0,,,okay so that would mean we subtract the k,,,
17:38.0,17:48.0,,,so that means that negative ten equals seven k minus sixty-eight okay,,,
17:48.1,17:48.8,yup,,,,,
17:48.8,17:50.7,,,okay bam,,,
17:51.4,17:52.5,,,that's it pause filler,,,
17:53.4,17:58.6,,,and that means that we can add sixty-eight,,,
17:58.6,17:59.8,,,so that means that pause filler,,,
17:59.8,18:00.3,,,oh crap,,,
18:00.3,18:02.9,,,what's negative ten plus sixty-eight,,,
18:02.9,18:06.3,,,it's fifty-eight okay fifty-eight,,,
18:06.3,18:06.7,,,god damn it,,,
18:06.7,18:08.7,,,I keep I'm holding this like a pencil,,,
18:08.7,18:14.0,,,so I keep pressing buttons that are weird because these things have button on the weird side,,,
18:14.6,18:18.9,,,pause filler fifty-eight equals seven k,,,
18:18.9,18:21.4,,,and fifty-eight is divisible by seven right,,,
18:21.4,18:23.1,,,now it's fifty-six right,,,
18:23.1,18:24.4,wait what did you just do pause filler with eight,,,,,
18:24.4,18:27.0,,,pause filler I added sixty-eight to both sides,,,
18:27.0,18:28.4,okay yup and yeah sixty-eight,,,,,
18:28.4,18:30.0,so then you get fifty-eight,,,,,
18:30.0,18:32.2,and then so then try to divide by seven and,,,,,
18:32.3,18:36.5,,,don't you even divide that by like I feel that's like no that's six,,,
18:36.5,18:37.9,,,I think I'm thinking of six points,,,
18:37.9,18:38.6,,,no that's eight,,,
18:38.6,18:38.8,,,oh crap,,,
18:39.1,18:40.6,,,pause filler well I know that seven is prime anyway,,,
18:40.6,18:41.4,,,so it doesn't matter all right,,,
18:41.4,18:42.8,so wait I mean let's just like count up by seven,,,,,
18:42.8,18:44.0,so three times seven twenty-one,,,,,
18:44.0,18:45.0,four times seven thirty-eight,,,,,
18:45.0,18:45.5,divide by seven,,,,,
18:45.5,18:45.9,,,thirty-five,,,
18:45.9,18:46.6,six times seven,,,,,
18:46.6,18:47.1,,,forty-two and,,,
18:47.1,18:47.7,seven times seven,,,,,
18:47.7,18:48.1,,,forty-nine,,,
18:48.1,18:48.8,,,so then fifty-six,,,
18:48.8,18:49.7,,,so yeah that's the basic form,,,
18:49.7,18:50.8,,,and this is the one more that they tell us to go,,,
18:51.3,18:52.4,,,it just accidentally broke,,,
18:52.4,18:53.7,,,sorry I'm really sorry,,,
18:53.7,18:54.8,,,pause filler I like to pay for anyone,,,
18:54.8,18:56.6,,,basically what happened was I was doodling on this board,,,
18:56.6,18:57.8,,,and I pressed down too hard,,,
18:57.8,18:58.8,,,and this thing separated here,,,
18:58.8,19:00.1,,,and I was trying to put it back together,,,
19:00.1,19:00.9,,,and it like broke up,,,
19:00.9,19:01.8,,,I like to buy a new one,,,
19:01.8,19:02.0,,,I'm sorry,,,
19:02.0,19:02.9,,,I feel like I've done nothing,,,
19:02.9,19:03.1,,,but (inaudible),,,
19:07.3,19:07.8,,,thank you,,,
19:07.9,19:08.0,,,yeah,,,
19:08.0,19:08.7,,,this is what I bring,,,
19:13.1,19:13.4,yeah oh okay,,,,,
19:17.7,19:18.8,cool ah the whole screen froze,,,,,
19:18.8,20:33.6,I had to reboot everything,,,,,
20:33.6,20:42.2,and then everything was not working,,,,,
21:37.2,21:38.7,,,thank you,,,
21:38.7,21:45.4,,,you're all very nice,,,
22:04.0,22:04.6,okay,,,,,
22:04.7,22:05.4,,,okay,,,
22:14.0,22:15.4,sounds good,,,,,
22:15.4,22:22.2,,,it's the weirdest thing,,,
22:23.3,28:55.5,,S2 ,,,,
22:26.2,22:31.5,,,I'm just a technological curse,,SD,
22:32.1,22:36.9,,,wherever I exist I just bring bad computer things,,SD,
22:38.8,22:47.1,sounds miserable,,,,,
22:48.8,23:06.8,what's your favorite flavor skill,,,QE,,
23:08.3,23:12.9,,,I don't know,,,
23:12.9,23:14.1,(inaudible),,,,,
23:14.1,23:14.8,there's grape,,,,,
23:15.5,23:17.3,,,I probably guess green apple,,,
23:17.3,23:25.4,I think I like the red,,,SD,,
23:26.6,23:27.0,cherry,,,,,
23:30.5,23:58.7,have you pause filler seen pause filler Captain America: Civil War,,,QE,,
24:00.3,24:00.7,,,I don't know,,,
24:00.7,24:04.7,I mean I see it,,,,,
24:05.8,24:08.4,,,(inaudible) oh okay continue,,,
24:09.8,24:14.9,oh I'm going to see it after this,,,SD,,
24:14.9,24:16.5,,,oh cool,,,
24:18.6,24:25.9,yeah $5 with free popcorn at the Waterworks,,,,,
24:26.8,24:30.0,so pretty good deal,,,,,
24:30.1,24:32.4,,,I guess so,,,
24:34.4,24:40.7,,,yup yup,,,
24:43.3,24:49.2,so what middle school do you go to right now,,,QE,,
24:49.0,24:50.0,,,Colfax,,SD,
24:50.6,24:51.2,oh nice,,,,,
24:54.9,25:01.3,so do you pause filler do you remember any of the upperclassmen guy that I had last year,,,QE,,
25:02.4,25:04.7,,,upperclassmen pause filler yeah a few of them,,SD,
25:04.7,25:10.8,,,who are you thinking in particular,,,
25:13.3,25:14.8,I don't know,,,,,
25:14.8,25:19.5,I know most of the kids from Colfax pause filler and on Dice now so,,,,,
25:19.9,25:22.3,,,what about Cal,,QE,
25:22.3,25:24.0,oh yeah I know Cal (laughter),,,SD,,
25:25.4,25:30.1,he did a presentation today in class pause filler on his quadcopter,,,,,
25:30.1,25:31.3,it's really cool,,,,,
25:32.0,25:34.4,he crashed it though,,,,,
25:34.4,25:34.5,,,oh,,,
25:34.8,25:37.9,not really yeah yeah,,,,,
25:39.0,25:46.2,,,yup and pause filler I imagine you know Tim Danger or Danger Danger,,,
25:46.2,25:47.5,pause filler I don't I don't,,,,,
25:47.5,25:48.7,,,oh you don't,,,
25:50.8,25:53.3,,,yeah actually (inaudible) well if Allderdice,,,
25:53.5,25:58.4,,,but pause filler basically his wills annoying bigger brother,,,
25:58.4,26:07.8,,,Will (inaudible) is annoying bigger brother that on Allderdice I think,,,
26:07.8,26:08.4,I know Will,,,SD,,
26:08.9,26:11.9,I don't know Tim though,,,SD,,
26:11.9,26:13.3,,,really you know Will,,,
26:13.9,26:17.5,yup he does band,,,,,
26:17.6,26:18.6,so I met him there,,,,,
26:19.3,26:19.6,,,oh nice,,,
26:20.2,26:23.7,but I do not know Tim,,,,,
26:25.3,26:25.8,,,yup,,,
26:29.1,26:29.6,do you know pause filler Kozuma,,,QE,,
26:29.6,26:30.5,,,Kozuma as in,,,
26:31.0,26:33.5,,,is that a ninth grader,,,
26:35.2,26:35.7,yeah,,,,,
26:35.7,26:39.8,,,I don't know a lot of the ninth graders,,SD,
26:40.8,26:45.6,,,his name is familiar but,,,
26:47.8,27:09.3,so I'm pretty sure you're going to be able to tutor now so,,,,,
27:10.5,27:10.6,,,yeah,,,
27:12.1,27:13.9,you get all the power,,,,,
27:13.9,27:23.1,,,well so you'll be glad to get out of here,,SD,well honesty i'll be glad to get out of here
27:23.1,27:27.5,,,I kind of feel bad for breaking the stylus thing,,SD,
27:33.1,27:33.5,oh well,,,,,
27:38.0,27:48.3,,,yeah and I almost feel partially responsible for making all of this weird stuff happen like the server exploding,,SD,
27:48.3,27:48.5,yeah,,,,,
27:48.5,27:48.9,,,there there there there,,,
27:48.9,27:52.7,,,why isn't it,,,
27:52.8,28:03.4,,,I'm just not even going to touch it,,,
28:04.8,28:04.9,,,aw,,,
28:06.2,28:16.1,,,they must be like trembling around like mad to try to get this fixed,,,
28:16.5,28:16.8,yeah,,,,,
28:17.2,28:17.5,,,hi,,,
28:47.9,28:55.7,,,again I'm very sorry,,,
28:55.9,28:57.6,,,I'm very sorry,,,
29:12.7,29:13.0,okay,,,,,
29:41.5,29:43.3,,,okay I'll do this okay okay,,,
